"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"MA010120220813963449","레인카페","","I2","음식","I212","비알코올 ","I21201","카페","I56229","기타 비알코올 음료점업","36","세종특별자치시","36110","세종특별자치시","36110250","조치원읍","3611025021","조치원읍","3611025021101010001","1","대지","101","1","세종특별자치시 세종특별자치시 조치원읍 원리 101-1","361104574473","세종특별자치시 세종특별자치시 조치원읍 조치원8길","16","","4473025021101010001038753","","세종특별자치시 세종특별자치시 조치원읍 조치원8길 16","339883","30027","","지","","127.30045319863","36.6009063463487"
"MA010120220805872513","수와마을","","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","36","세종특별자치시","36110","세종특별자치시","36110250","조치원읍","3611025030","조치원읍","3611025030103790016","1","대지","379","16","세종특별자치시 세종특별자치시 조치원읍 죽림리 379-16","361103258034","세종특별자치시 세종특별자치시 조치원읍 충현로","75","1","4473025030103790016042253","","세종특별자치시 세종특별자치시 조치원읍 충현로 75-1","339884","30034","","","","127.29626301446","36.5953027344442"
"MA010120220700019175","세종수이비인후과의원","","Q1","보건의료","Q102","의원","Q10201","내과/소아과 의원","Q86201","일반의원","36","세종특별자치시","36110","세종특별자치시","36110525","해밀동","3611011600","해밀동","3611011600200050002","2","산","5","2","세종특별자치시 세종특별자치시 해밀동 산 5-2","361103352828","세종특별자치시 세종특별자치시 해밀3로","43","","3611011600200050002000001","행정중심복합도시","세종특별자치시 세종특별자치시 해밀3로 43","","30092","","","","127.26448707171","36.5285845354515"
"MA010120220805875069","블랙홀PC방","","R1","예술·스포츠","R104","유원지·오락","R10406","PC방","R91222","컴퓨터 게임방 운영업","36","세종특별자치시","36110","세종특별자치시","36110250","조치원읍","3611025032","조치원읍","3611025032103430002","1","대지","343","2","세종특별자치시 세종특별자치시 조치원읍 신안리 343-2","361104574299","세종특별자치시 세종특별자치시 조치원읍 섭골길","74","","4473025032103430002042387","호","세종특별자치시 세종특별자치시 조치원읍 섭골길 74","339886","30016","","2","","127.287100942195","36.6169074334413"
"MA010120220805871389","삼손건강원","","G2","소매","G205","식료품 소매","G20508","건강보조식품 소매업","C10796","건강 보조용 액화식품 제조업","36","세종특별자치시","36110","세종특별자치시","36110350","장군면","3611035021","장군면","3611035021100060001","1","대지","6","1","세종특별자치시 세종특별자치시 장군면 도계리 6-1","361103251037","세종특별자치시 세종특별자치시 장군면 장척로","436","","4415035021100060001018274","","세종특별자치시 세종특별자치시 장군면 장척로 436","339913","30053","","","","127.20826564842","36.4990029185106"
"MA010120220810387246","더안전기술단","","P1","교육","P106","기타 교육","P10621","직원 훈련기관","P85650","직원 훈련기관","36","세종특별자치시","36110","세종특별자치시","36110555","소담동","3611010200","소담동","3611010200105550000","1","대지","555","","세종특별자치시 세종특별자치시 소담동 555","361104855995","세종특별자치시 세종특별자치시 법원2로","18","","3611010200100350001000001","리치타워2","세종특별자치시 세종특별자치시 법원2로 18","339010","30148","","5","","127.303851225093","36.4868664732041"
"MA010120220810388570","대박공인중개사사무소","","L1","부동산","L102","부동산 서비스","L10203","부동산 중개/대리업","L68221","부동산 중개 및 대리업","36","세종특별자치시","36110","세종특별자치시","36110340","금남면","3611034034","금남면","3611034034103670006","1","대지","367","6","세종특별자치시 세종특별자치시 금남면 대박리 367-6","361103000098","세종특별자치시 세종특별자치시 금남면 금남구즉로","529","","3611034034103670006000001","대박빌딩","세종특별자치시 세종특별자치시 금남면 금남구즉로 529","339832","30081","","","","127.333854724501","36.4803971006764"
"MA010120220805166174","다온김밥","","I2","음식","I210","기타 간이","I21007","김밥/만두/분식","I56194","김밥 및 기타 간이 음식점업","36","세종특별자치시","36110","세종특별자치시","36110520","도담동","3611011400","도담동","3611011400108480000","1","대지","848","","세종특별자치시 세종특별자치시 도담동 848","361103258090","세종특별자치시 세종특별자치시 보듬3로","7","","3611011400101700000000001","도램마을행복1차8단지","세종특별자치시 세종특별자치시 보듬3로 7","339006","30098","","1","","127.258399455372","36.511133542467"
"MA010120220805573546","두꺼비공인중개사사무소","","L1","부동산","L102","부동산 서비스","L10203","부동산 중개/대리업","L68221","부동산 중개 및 대리업","36","세종특별자치시","36110","세종특별자치시","36110250","조치원읍","3611025022","조치원읍","3611025022101440000","1","대지","144","","세종특별자치시 세종특별자치시 조치원읍 상리 144","361103258031","세종특별자치시 세종특별자치시 조치원읍 조치원로","46","","4473025022101440000038292","","세종특별자치시 세종특별자치시 조치원읍 조치원로 46","339881","30026","","","","127.301808500901","36.6016688903417"
"MA010120220805948343","한마음","","G2","소매","G221","기타 상품 소매","G22199","그 외 기타 상품 전문 소매업","G47859","그 외 기타 분류 안된 상품 전문 소매업","36","세종특별자치시","36110","세종특별자치시","36110350","장군면","3611035024","장군면","3611035024103650001","1","대지","365","1","세종특별자치시 세종특별자치시 장군면 봉안리 365-1","361104574627","세종특별자치시 세종특별자치시 장군면 봉안길","71","","4415035024103650001016597","","세종특별자치시 세종특별자치시 장군면 봉안길 71","339914","30055","","","","127.222160063032","36.498356057313"
